county,precinct,office,district,candidate,party,votes
Wayne,"City of Detroit, Precinct 260",Ballots Cast,"","","",166
Wayne,"City of Detroit, Precinct 261",Ballots Cast,"","","",150
Wayne,"City of Detroit, Precinct 262",Ballots Cast,"","","",143
Wayne,"City of Detroit, Precinct 263",Ballots Cast,"","","",224
Wayne,"City of Detroit, Precinct 264",Ballots Cast,"","","",185
Wayne,"City of Detroit, Precinct 265",Ballots Cast,"","","",280
Wayne,"City of Detroit, Precinct 266",Ballots Cast,"","","",94
Wayne,"City of Detroit, Precinct 267",Ballots Cast,"","","",114
Wayne,"City of Detroit, Precinct 268",Ballots Cast,"","","",122
Wayne,"City of Detroit, Precinct 269",Ballots Cast,"","","",79
Wayne,"City of Detroit, Precinct 270",Ballots Cast,"","","",56
Wayne,"City of Detroit, Precinct 271",Ballots Cast,"","","",223
Wayne,"City of Detroit, Precinct 272",Ballots Cast,"","","",101
Wayne,"City of Detroit, Precinct 273",Ballots Cast,"","","",97
Wayne,"City of Detroit, Precinct 274",Ballots Cast,"","","",140
Wayne,"City of Detroit, Precinct 275",Ballots Cast,"","","",149
Wayne,"City of Detroit, Precinct 276",Ballots Cast,"","","",300
Wayne,"City of Detroit, Precinct 277",Ballots Cast,"","","",109
Wayne,"City of Detroit, Precinct 278",Ballots Cast,"","","",164
Wayne,"City of Detroit, Precinct 279",Ballots Cast,"","","",174
Wayne,"City of Detroit, Precinct 280",Ballots Cast,"","","",198
Wayne,"City of Detroit, Precinct 281",Ballots Cast,"","","",244
Wayne,"City of Detroit, Precinct 282",Ballots Cast,"","","",232
Wayne,"City of Detroit, Precinct 283",Ballots Cast,"","","",110
Wayne,"City of Detroit, Precinct 284",Ballots Cast,"","","",166
Wayne,"City of Detroit, Precinct 285",Ballots Cast,"","","",245
Wayne,"City of Detroit, Precinct 286",Ballots Cast,"","","",239
Wayne,"City of Detroit, Precinct 287",Ballots Cast,"","","",286
Wayne,"City of Detroit, Precinct 288",Ballots Cast,"","","",253
Wayne,"City of Detroit, Precinct 289",Ballots Cast,"","","",180
Wayne,"City of Detroit, Precinct 290",Ballots Cast,"","","",140
Wayne,"City of Detroit, Precinct 291",Ballots Cast,"","","",201
Wayne,"City of Detroit, Precinct 292",Ballots Cast,"","","",208
Wayne,"City of Detroit, Precinct 293",Ballots Cast,"","","",183
Wayne,"City of Detroit, Precinct 294",Ballots Cast,"","","",218
Wayne,"City of Detroit, Precinct 295",Ballots Cast,"","","",162
Wayne,"City of Detroit, Precinct 296",Ballots Cast,"","","",160
Wayne,"City of Detroit, Precinct 297",Ballots Cast,"","","",234
Wayne,"City of Detroit, Precinct 298",Ballots Cast,"","","",319
Wayne,"City of Detroit, Precinct 299",Ballots Cast,"","","",110
Wayne,"City of Detroit, Precinct 300",Ballots Cast,"","","",191
Wayne,"City of Detroit, Precinct 301",Ballots Cast,"","","",128
Wayne,"City of Detroit, Precinct 302",Ballots Cast,"","","",133
Wayne,"City of Detroit, Precinct 303",Ballots Cast,"","","",153
Wayne,"City of Detroit, Precinct 304",Ballots Cast,"","","",115
Wayne,"City of Detroit, Precinct 305",Ballots Cast,"","","",202
Wayne,"City of Detroit, Precinct 306",Ballots Cast,"","","",315
Wayne,"City of Detroit, Precinct 307",Ballots Cast,"","","",174
Wayne,"City of Detroit, Precinct 308",Ballots Cast,"","","",204
Wayne,"City of Detroit, Precinct 309",Ballots Cast,"","","",164
Wayne,"City of Detroit, Precinct 310",Ballots Cast,"","","",169
Wayne,"City of Detroit, Precinct 311",Ballots Cast,"","","",286
Wayne,"City of Detroit, Precinct 312",Ballots Cast,"","","",279
Wayne,"City of Detroit, Precinct 313",Ballots Cast,"","","",114
Wayne,"City of Detroit, Precinct 314",Ballots Cast,"","","",155
Wayne,"City of Detroit, Precinct 315",Ballots Cast,"","","",291
Wayne,"City of Detroit, Precinct 316",Ballots Cast,"","","",223
Wayne,"City of Detroit, Precinct 317",Ballots Cast,"","","",169
Wayne,"City of Detroit, Precinct 318",Ballots Cast,"","","",125
Wayne,"City of Detroit, Precinct 319",Ballots Cast,"","","",178
Wayne,"City of Detroit, Precinct 320",Ballots Cast,"","","",155
Wayne,"City of Detroit, Precinct 321",Ballots Cast,"","","",213
Wayne,"City of Detroit, Precinct 322",Ballots Cast,"","","",69
Wayne,"City of Detroit, Precinct 323",Ballots Cast,"","","",218
Wayne,"City of Detroit, Precinct 324",Ballots Cast,"","","",187
Wayne,"City of Detroit, Precinct 325",Ballots Cast,"","","",186
Wayne,"City of Detroit, Precinct 326",Ballots Cast,"","","",127
Wayne,"City of Detroit, Precinct 327",Ballots Cast,"","","",182
Wayne,"City of Detroit, Precinct 328",Ballots Cast,"","","",207
Wayne,"City of Detroit, Precinct 329",Ballots Cast,"","","",173
Wayne,"City of Detroit, Precinct 330",Ballots Cast,"","","",370
Wayne,"City of Detroit, Precinct 331",Ballots Cast,"","","",190
Wayne,"City of Detroit, Precinct 332",Ballots Cast,"","","",163
Wayne,"City of Detroit, Precinct 333",Ballots Cast,"","","",168
Wayne,"City of Detroit, Precinct 334",Ballots Cast,"","","",166
Wayne,"City of Detroit, Precinct 335",Ballots Cast,"","","",240
Wayne,"City of Detroit, Precinct 336",Ballots Cast,"","","",242
Wayne,"City of Detroit, Precinct 337",Ballots Cast,"","","",227
Wayne,"City of Detroit, Precinct 338",Ballots Cast,"","","",287
Wayne,"City of Detroit, Precinct 339",Ballots Cast,"","","",190
